
Linux  zoup.org  2.6.17.8  #1 SMP PREEMPT Thu Aug 17 15:08:28 IRST 2006  i686  08/29/2006

15:38:46  device            read/s rdKb/s   write/s wrKb/s        rdwr/s _disk_
15:38:47  disk008-000         0.00   0.00     91.21 716.48         91.21
15:38:48  disk008-000         0.00   0.00      3.00  12.00          3.00
15:38:49  
15:38:50  disk008-000         0.00   0.00      1.01   4.04          1.01
15:38:51  
15:38:52  disk008-000         0.00   0.00     76.29 573.20         76.29
15:38:53  
15:38:54  disk008-000         0.00   0.00      1.01   4.04          1.01
15:38:55  disk008-000         0.99   3.96      2.97  11.88          3.96
15:38:56  
